number,prob_DM,anomaly_score,anomaly_score_norm,combined_score
574,0.88,-11.309409097328414,0.0,0.44
498,0.88,-11.309409097328414,0.0,0.44
738,0.88,-11.309409097328414,0.0,0.44
869,0.88,-11.309409097328414,0.0,0.44
10,0.88,-11.309409097328414,0.0,0.44
617,0.87,-11.30940778088093,0.007721684232819825,0.4388608421164099
739,0.87,-11.309407884857803,0.007111803031875752,0.4385559015159379
1033,0.87,-11.309408181959023,0.00536914193071425,0.4376845709653571
632,0.87,-11.309408249317457,0.004974047900759615,0.4374870239503798
511,0.87,-11.30940837228326,0.004252786238794215,0.4371263931193971
367,0.87,-11.309408388294663,0.004158870593528263,0.43707943529676413
621,0.87,-11.309408392084489,0.004136641204240732,0.43706832060212036
659,0.87,-11.30940840355868,0.004069338800036348,0.43703466940001817
1072,0.87,-11.309408552353576,0.0031965753878466785,0.43659828769392334
692,0.87,-11.30940862213514,0.0027872683567693457,0.43639363417838467
978,0.87,-11.30940863991095,0.0026830035058083013,0.43634150175290415
131,0.87,-11.309408791772862,0.0017922503757290542,0.4358961251878645
597,0.87,-11.309408810662603,0.001681451714830473,0.43584072585741523
556,0.87,-11.309408838112445,0.001520443387562409,0.4357602216937812
328,0.87,-11.309408865903666,0.001357432673103176,0.4356787163365516
1119,0.87,-11.309408883035855,0.0012569430109579116,0.43562847150547895
125,0.87,-11.309408905359264,0.0011260040191700682,0.43556300200958503
264,0.87,-11.30940895600325,0.0008289493562188,0.4354144746781094
373,0.87,-11.309408980480669,0.0006853759114164859,0.43534268795570824
908,0.87,-11.30940899921112,0.0005755115707870573,0.4352877557853935
222,0.87,-11.309409034809564,0.0003667072451207787,0.4351833536225604
351,0.87,-11.309409049376526,0.00028126404504291713,0.43514063202252146
348,0.87,-11.309409050979506,0.0002718616888159886,0.435135930844408
473,0.87,-11.309409052534058,0.0002627433859743178,0.43513137169298716
