#4FGL LogParabola unIDs
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 1.0000       nan   2.5709e+00       8.9991    5.995       J0754.9-3953
-0.0096    0.0714   2.0186e+19       6.5064    0.117       J0755.9-0515
 0.3683    0.0726   1.1935e+00      23.4414    7.436       J0758.8-1450
 0.0026    0.0790   7.3536e-46       4.1495    0.051       J0800.1-5531
 0.6471    0.4274   1.4888e+00       5.8179    2.376       J0800.5+3715
 0.3424    0.1675   6.8164e-01       6.5862    2.877       J0800.7-1059
 0.4543    0.2776   5.4752e+00       7.1269    2.910       J0800.9+0733
 0.0500    0.1141   9.4408e-03       4.8149    0.483       J0801.3-0617
 0.6881    0.1488   1.0661e+00      18.5074    8.508       J0802.1-5612
 0.3380    0.2603   4.6851e-01       5.1698    2.173       J0803.5+2046
 0.9603       nan   2.9886e-01       6.6418    4.686       J0809.8+0507
 0.0879    0.0855   4.2356e-02       6.0871    1.179       J0813.1-5049
 0.1322    0.1401   3.4987e+01       5.0320    0.982       J0815.5+6554
 0.5608    0.3428   2.7919e-01       7.3873    4.136       J0817.7-5258
 0.9745    0.2025   1.0578e+00       6.0661    3.809       J0821.5-1436
 1.0000    0.0166   8.2647e+00       4.2160    2.421       J0824.1-6004
 0.0313    0.0809   2.6881e-03       7.2298    0.395       J0826.0-0157
 0.3945    0.2749   1.5977e+00      10.3229    2.833       J0826.1-5053
-0.0514    0.0706   4.0731e+01       4.2614    0.510       J0827.0-4111
 0.2617    0.3048   5.7073e+00       4.5729    1.277       J0827.6-0059
 0.4055    0.1954   2.1927e-01       7.3890    3.022       J0829.3+3729
 0.1015    0.1194   9.9202e-02       4.6786    1.013       J0836.0-5458
 0.9995    0.0462   2.4860e+00       4.9467    2.673       J0836.6-6036
 0.2356    0.1435   7.8015e-02       6.5185    2.217       J0838.4-3952
-0.0173    0.0764   1.7242e-03       4.3546    0.208       J0838.5+4013
 0.0384    0.1172   7.7330e-03       5.7203    0.464       J0838.9-2502
 0.5295    0.1287   2.8672e+00      18.0942    6.866       J0843.3+6712
 0.3515    0.1743   4.1464e-01       6.3060    3.198       J0844.1-4330
 0.2451    0.0999   2.4175e-01       8.8409    3.355       J0844.9-4117
 0.1194    0.0880   5.5124e-02       8.5685    1.843       J0848.8-4328
 0.1216    0.1542   2.6416e-01       4.4551    0.942       J0849.5+2710
-0.0109    0.0702   3.3003e+12       5.1165    0.149       J0850.4-2558
 0.6738    0.1437   2.8615e-01       7.8291    5.301       J0850.8-4239
 0.5503    0.1921   4.0820e-01       7.6840    5.098       J0853.1-4407
 0.7048    0.2456   5.8789e-01       9.5201    5.668       J0853.6-4306
 0.4246    0.0720   1.7199e+00      29.7908    8.830       J0854.8-4504
 0.0831    0.1666   2.7718e-02       4.0858    0.520       J0855.0+0720
 0.1921    0.1815   1.2377e+00       4.9548    1.424       J0855.0-6026
 0.1607    0.0963   8.0944e-02       6.1195    2.152       J0857.7-4507
 0.1912    0.0649   3.3485e-01      13.8406    3.908       J0859.2-4729
 0.3193    0.0763   3.7169e-01      16.7294    6.109       J0859.3-4342
 0.9991    0.0525   3.1186e+01       4.4654    1.937       J0859.8+0053
 0.3017    0.1437   2.5809e-01       6.7340    3.151       J0900.2-4608
 0.0511    0.0815   3.4653e-02       5.0277    0.686       J0902.5-4727
 0.0445    0.1545   4.4312e+00       5.3930    0.321       J0903.5+4057
 0.0668    0.0974   5.4087e+00       5.8482    0.776       J0906.1-1011
 0.8663    0.2310   5.7241e-01      12.5606    6.592       J0906.8-2122
 0.4349    0.2993   5.2515e+00       5.1932    2.172       J0910.1-1816
 0.5435    0.3058   3.6375e+00       4.0853    2.625       J0910.9+6055
 0.0535    0.0682   6.1834e-03       5.5388    0.904       J0911.6-4738
 0.4192    0.2805   1.4088e+01       4.8286    1.478       J0914.5+6845
 0.0160    0.1372   9.0627e-02       4.1283    0.107       J0916.9+7756
 0.4349    0.1631   3.9362e-01       7.8242    4.409       J0917.9-4755
