#4FGL LogParabola blazars (bll+BLL)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.0903    0.0212   5.4716e+00      43.9885    4.863       J0718.6-4319
 0.0727    0.0495   4.8851e-01      13.1502    1.702       J0719.7-4012
 0.0449    0.0923   1.9040e+01       6.0386    0.503       J0721.3-0222
 0.0565    0.0039   8.6875e-01     260.2830   16.315       J0721.9+7120
 0.0143    0.0488   4.7954e-01       9.4721    0.305       J0723.0-0732
 0.7728    0.3206   2.5323e+01       4.1531    2.226       J0723.4+5841
 0.9998    0.0518   1.6593e+01       4.6890    1.664       J0727.1+3734
 0.0505    0.0766   2.7392e-01       7.5834    0.702       J0728.2+4827
 0.0687    0.0656   6.8214e+00      12.3369    1.174       J0730.4+3308
 0.0761    0.0377   6.3457e-01      20.6247    2.298       J0730.5-0535
 0.0050    0.0435   4.4947e+09      14.6584    0.110       J0730.7-6602
 0.0885    0.1235   3.5011e+00       5.9135    0.860       J0731.9+2805
-0.0270    0.0366   1.6955e+01      14.3022    0.650       J0733.7+4110
 0.0650    0.0124   1.9355e+00      69.0815    6.468       J0738.1+1742
 0.0670    0.0950   1.0689e-01       5.7785    0.823       J0740.9+3203
 0.4262    0.4190   5.7708e+01       4.7317    1.672       J0741.0+3226
-0.0030    0.0602   6.0909e+16       7.4057    0.000       J0743.1+1713
-0.0395    0.0309   1.5900e+00      18.9694    1.126       J0744.1+7434
 0.0666    0.0353   3.3540e+00      21.5537    2.090       J0746.6-4754
 0.0140    0.0258   4.8623e-05      19.4215    0.560       J0747.3-3310
 0.0467    0.0618   1.3352e+00      10.5744    0.835       J0747.5+0905
-0.0165    0.0686   7.4940e-02       5.6136    0.223       J0749.2+2314
-0.0688    0.0465   1.1363e+01       8.6953    1.091       J0749.7+7450
 0.0707    0.0287   6.4683e-01      35.5853    2.773       J0753.0+5353
 0.0781    0.0227   7.9051e-01      35.2972    3.857       J0754.4-1148
 0.0789    0.0253   1.1417e+00      38.3184    3.555       J0754.7+4823
-0.0132    0.0691   7.8346e+00       7.6282    0.168       J0756.3-6431
 0.2027    0.1283   2.6775e+01       6.0199    1.893       J0757.1-3729
 0.0344    0.0192   1.3164e-01      40.0777    1.935       J0757.1+0956
 0.0778    0.0597   1.1141e+00      16.4773    1.543       J0758.9+2703
 0.0250    0.0660   9.3630e+01      10.0243    0.418       J0759.6+1321
 0.1583    0.0952   1.5745e+00      11.9818    2.048       J0800.9+4401
-0.0028    0.0596   1.9126e+07       9.2623    0.051       J0801.1+6444
 0.1275    0.0806   3.0845e+00       9.9287    1.915       J0802.0+1006
 0.2126    0.0568   7.6842e+00      20.3271    4.666       J0804.0-3629
 0.0153    0.0160   1.8584e+02      41.7941    0.937       J0805.4+7534
