Source_ID,E_peak,Beta,log_E_peak,log_Beta,Prob_Run1,Std_Run1,Prob_Run2,Std_Run2,Prob_Run3,Std_Run3,Mean_Consensus,Std_Consensus,Min_Consensus,Max_Consensus,Range_Consensus,CV_Consensus
1106,0.61673,0.3047,-0.2099049253898669,-0.5161275457773263,0.3578830246576321,0.1984782517910685,0.3380538907169843,0.186875320031927,0.3463485170884816,0.2427925772819417,0.3474284774876993,0.00995858293418029,0.3380538907169843,0.3578830246576321,0.019829133940647836,0.028663691357585848
1069,0.13913,0.1455,-0.8565792148700634,-0.8371370066780739,0.3576425725320856,0.2568406224274089,0.3378729255296404,0.2600026901729269,0.3461317949508183,0.194043264065304,0.3472157643375147,0.00992929896184993,0.3378729255296404,0.3576425725320856,0.019769647002445212,0.028596912052152475
1097,0.15787,0.2837,-0.8017003910323132,-0.5471406642041478,0.3575276309373844,0.2506737391088498,0.3377564638827586,0.3213769767102485,0.3458916503798379,0.2892734662932169,0.34705858173332693,0.009937105124899145,0.3377564638827586,0.3575276309373844,0.019771167054625782,0.02863235592373585
1056,0.082079,0.0578,-1.0857679433765997,-1.238072161579471,0.3573399745518398,0.2546214623222544,0.3377252443302966,0.1256414146200754,0.3452692202743129,0.2546716020215044,0.3467781463854831,0.009894041334192437,0.3377252443302966,0.3573399745518398,0.019614730221543197,0.028531328032075042
228,0.24175,0.2451,-0.6166335172449607,-0.610656688747922,0.3570405191914742,0.272649990710073,0.3377031906734987,0.3220834178039744,0.3448878779148085,0.3136373804503721,0.3465438625932605,0.00977444538040283,0.3377031906734987,0.3570405191914742,0.01933732851797554,0.028205506296384946
805,0.95951,0.385,-0.0179504946938167,-0.4145392704914993,0.3569689918064056,0.2640608351768424,0.337649766574325,0.28717807696636,0.3445681189447337,0.2433973251324286,0.34639562577515476,0.009788409053742692,0.337649766574325,0.3569689918064056,0.019319225232080628,0.02825788792586389
557,1.2402,0.3139,0.0934917270109318,-0.5032086842999576,0.3565279361220221,0.3277073338037937,0.3375881192026983,0.2036371358326988,0.3439221580558202,0.2587397764079205,0.34601273779351355,0.00964142411493843,0.3375881192026983,0.3565279361220221,0.018939816919323782,0.02786436099947405
875,0.75605,0.4468,-0.1214494822685721,-0.3498868355564286,0.3562266648954769,0.137420100479142,0.3374270478802431,0.2465293869008723,0.34340377684135,0.203474223972385,0.34568582987235663,0.009605322717489097,0.3374270478802431,0.3562266648954769,0.018799617015233805,0.02778627762431875
1091,0.2834,0.2343,-0.5476001540885584,-0.6302277114030372,0.3560351576694802,0.1954078628821577,0.3374190380456603,0.2533029146535088,0.3432077120453108,0.2867569224858636,0.34555396925348375,0.00952725929253899,0.3374190380456603,0.3560351576694802,0.01861611962381987,0.027570972596296442
176,0.75374,0.4969,-0.1227784366741846,-0.3037310032544671,0.3556983617907616,0.3083711485300911,0.3371813568986077,0.1947519342919129,0.3429192034086658,0.2118593310669043,0.34526630736601166,0.009479005237046478,0.3371813568986077,0.3556983617907616,0.01851700489215391,0.027454184669273508
762,1.2585,0.5237,0.0998532198843815,-0.280917426098514,0.3553536030028502,0.1975237915694904,0.3370917544112529,0.2454656528633247,0.3426052753576313,0.1876828921133354,0.34501687759057814,0.009366730886124124,0.3370917544112529,0.3553536030028502,0.018261848591597296,0.027148615685268603
326,34.579,0.097,1.5388124296330574,-1.0132282657337552,0.3552184636036495,0.3285407087855428,0.3369879435798984,0.1869534166853193,0.3424617027646092,0.2057268511789072,0.3448893699827191,0.00935457862094874,0.3369879435798984,0.3552184636036495,0.018230520023751084,0.027123417431460073
595,1.8044,0.4102,0.2563328184256729,-0.3870043439676525,0.3550028154777334,0.2536690418400558,0.3365927912258617,0.219432104825577,0.3423248698190734,0.274689301793204,0.34464015884088955,0.009420863584594158,0.3365927912258617,0.3550028154777334,0.01841002425187166,0.027335361447502943
156,0.79125,0.4857,-0.1016862769745884,-0.3136318965269638,0.354719973291368,0.2558320569369132,0.3361084788931093,0.2464430655931375,0.3421334573412255,0.2447068769102956,0.3443206365085676,0.009496564929838854,0.3361084788931093,0.354719973291368,0.01861149439825871,0.027580585207813132
606,2.2457,0.4597,0.3513517389928011,-0.3375254962496903,0.3538760315507264,0.2518444930038189,0.3358452610730715,0.2404949887808788,0.3419787675967223,0.2458475782576414,0.34390002007350673,0.009167637608137142,0.3358452610730715,0.3538760315507264,0.01803077047765489,0.026657856372323117
65,0.26272,0.1671,-0.5805068645606533,-0.7770235501066086,0.3536287512583952,0.2075668939444012,0.3355496040217284,0.2530300915781632,0.3414603306815614,0.2412802562909586,0.343546228653895,0.009218303475396566,0.3355496040217284,0.3536287512583952,0.018079147236666815,0.026832788248581374
946,0.53199,0.2198,-0.2740965312117877,-0.6579723119125283,0.353586773278199,0.1973282323286805,0.3355364824496454,0.2440068760277019,0.3414490401414966,0.2472585498804446,0.3435240986231136,0.009202317671404288,0.3355364824496454,0.353586773278199,0.018050290828553583,0.026787982096186193
